ParticipantId,Condition,Correct1,Correct2,Correct3,Correct4,CorrectTotal,Incorrect1,Incorrect2,Incorrec3,Incorrect4,IncorrectTotal,CorIncor,EngTime1,EngTime2,EngTotal,ExtTime1,ExtTime2,ExtTotal,EngExt,YellowButton,GreenButton,YellowGreen,ButtonTotal
1,2,13,17,10,4,44,16,9,9,8,42,2,4,6,-2,0,3.5,-3.5,1.5,6,2,4,8
2,1,20.94,21.75,17.51,12.96,73.16,21.26,21.68,7.44,21.56,71.94,1.22,8.78,0,8.78,2.97,0,2.97,5.81,6,2,4,8
3,2,22,10.54,10.22,17.92,60.68,22,11.39,22,3.39,58.78,1.9,10,10,0,2.8,7.5,-4.7,4.7,,,,
4,1,22,22,21.37,22,87.37,22,18.8,21.17,19.8,81.77,5.6,,,,,,,,0,21,-21,21
5,2,15,19,19,13,66,20,10,11,17,58,8,,,,,,,,,,,
6,1,15.71,22,11.93,16.18,65.82,15.84,22,20.67,15.18,73.69,-7.87,5.06,6.1,-1.04,10,5.39,4.61,-5.65,0,1,-1,1
7,2,19.92,18.9,11.34,13.39,63.55,18.16,20.8,18.3,17.7,74.96,-11.41,,,,,,,,1,3,-2,4
8,1,22,20.08,1.81,6.5,50.39,22,21.34,14.61,5.6,63.55,-13.16,0,0,0,10,7.3,2.7,-2.7,,,,
13,2,21.63,21.78,19.5,20.2,83.11,19.62,21.74,16.84,21.48,79.68,3.43,,,,,,,,,,,
15,2,22,22,17.23,8.75,69.98,22,20.7,22,16.44,81.14,-11.16,10,0,10,4.14,0,4.14,5.86,6,0,6,6
17,2,22,15.7,11.94,18.36,68,20.8,15.39,19.72,19.54,75.45,-7.45,0,0,0,4.96,0,4.96,-4.96,20,1,19,21
18,1,15.52,10.86,13.16,13.58,53.12,13.37,10.28,22,17.12,62.77,-9.65,0,4.05,-4.05,0,3.05,-3.05,-1,1,0,1,1
19,2,22,22,21.3,22,87.3,18.4,22,21.05,22,83.45,3.85,0,1,-1,0,3.8,-3.8,2.8,,,,
20,1,14.46,7.24,12.54,4.52,38.76,7.1,2.29,11.3,17.78,38.47,0.29,0,2.11,-2.11,4.3,2.33,1.97,-4.08,1,4,-3,5
23,2,22,22,21.15,19.18,84.33,15.8,22,17.39,22,77.19,7.14,2.14,4.86,-2.72,0,0,0,-2.72,,,,
24,1,21.11,11.53,15.04,13.4,61.08,20.25,15.38,18.83,15.52,69.98,-8.9,3.25,0,3.25,10,2.44,7.56,-4.31,,,,
26,1,0,13.94,2.9,1.34,18.18,6.16,2.97,6.06,8.98,24.17,-5.99,0,0,0,3.31,4.92,-1.61,1.61,2,0,2,2
27,2,22,18.26,22,22,84.26,22,15.79,7.69,20.06,65.54,18.72,5.98,0,5.98,0,0,0,5.98,,,,
29,2,14.92,18.96,8.49,2.2,44.57,20.7,11.59,21.09,12.03,65.41,-20.84,2.1,0,2.1,6.38,2.54,3.84,-1.74,,,,
30,1,22,20.3,19.4,22,83.7,22,20.57,22,22,86.57,-2.87,0,5.5,-5.5,0,0,0,-5.5,,,,
31,2,13.98,15.14,11.57,6.13,46.82,18.37,19.03,14.96,12.45,64.81,-17.99,,,,,,,,,,,
33,2,22,19,10,7,58,22,11,4,11,48,10,5,0,5,0,0,0,5,3,0,3,3
39,2,21.82,21.8,21.76,22,87.38,21.25,20.04,21.5,21.64,84.43,2.95,0,2.8,-2.8,3.52,0,3.52,-6.32,,,,
40,1,14.4,15.48,12.1,12,53.98,16.8,13.58,18.22,9.6,58.2,-4.22,2.9,0,2.9,1.5,0,1.5,1.4,4,2,2,6
43,1,22,19.3,17.42,15.49,74.21,21,14.58,11.45,20.48,67.51,6.7,,,,,,,,,,,
44,2,18.09,17.72,15.27,14.97,66.05,17.88,18.3,14.26,10.92,61.36,4.69,2.8,0,2.8,0,0,0,2.8,0,3,-3,3
46,2,22,22,22,17,83,22,22,22,22,88,-5,,,,,,,,12,0,12,12
47,1,13.98,16.08,12.78,13.12,55.96,17.56,12.23,15.33,16.92,62.04,-6.08,2.13,0,2.13,0,4.19,-4.19,6.32,3,10,-7,13
48,2,21.2,22,22,21.9,87.1,22,22,22,22,88,-0.9,,,,,,,,,,,
49,1,3.29,12.71,12.89,15.91,44.8,6.32,10.88,4.01,13.98,35.19,9.61,,,,,,,,,,,
